id,lat,lng,lat_c,lng_c
1,48.913344,2.578432,48.913344,2.579432
2,48.910078,2.588232,48.910078,2.589232
3,48.923144,2.588232,48.923144,2.589232
4,48.928371,2.585619,48.928371,2.586619
5,48.932945,2.567978,48.932945,2.568978
6,48.921184,2.547725,48.921184,2.548725
7,48.906811,2.549685,48.906811,2.550685
8,48.897664,2.559485,48.897664,2.560485
9,48.88917,2.581699,48.88917,2.582699
10,48.88721,2.592806,48.88721,2.593806
11,48.901584,2.580392,48.901584,2.581392
12,48.891784,2.567978,48.891784,2.568978
13,48.911384,2.567325,48.911384,2.568325
14,48.924451,2.573205,48.924451,2.574205
15,48.938825,2.581045,48.938825,2.582045
16,48.933598,2.607832,48.933598,2.608832
17,48.920531,2.612406,48.920531,2.613406
18,48.917264,2.605872,48.917264,2.606872
19,48.913998,2.598032,48.913998,2.599032
20,48.902891,2.606526,48.902891,2.607526
21,48.895051,2.611753,48.895051,2.612753
22,48.884597,2.611099,48.884597,2.612099
23,48.878064,2.602606,48.878064,2.603606
24,48.868917,2.588885,48.868917,2.589885
25,48.870223,2.577125,48.870223,2.578125
26,48.87545,2.556218,48.87545,2.557218
27,48.88329,2.540538,,
28,48.894397,2.541191,,
29,48.893744,2.547071,,
30,48.889824,2.550338,,
31,48.87545,2.547725,,
32,48.86369,2.546418,,
33,48.857157,2.564058,,
34,48.857157,2.573858,,
35,48.868263,2.569938,,
36,48.87741,2.569938,,
37,48.881984,2.565365,,
38,48.907464,2.560138,,
39,48.925758,2.559485,,
40,48.924451,2.566672,,
41,48.930331,2.552951,48.930331,2.553951
42,48.930985,2.552298,48.930985,2.553298
43,48.944052,2.607832,48.944052,2.608832
44,48.944052,2.558178,48.944052,2.559178
45,48.947318,2.581699,48.947318,2.582699
46,48.957118,2.578432,48.957118,2.579432
47,48.944705,2.569285,48.944705,2.570285
48,48.945358,2.632006,48.945358,2.633006
49,48.926656,2.631271,48.926656,2.632271
50,48.913589,2.632578,48.913589,2.633578
51,48.899869,2.637151,48.899869,2.638151
52,48.893989,2.630618,48.893989,2.631618
53,48.907056,2.624738,48.907056,2.625738
54,48.910976,2.622124,48.910976,2.623124
55,48.931883,2.622124,48.931883,2.623124
56,48.95083,2.624738,48.95083,2.625738
57,48.963244,2.641071,48.963244,2.642071
58,48.961284,2.665245,48.961284,2.666245
59,48.944297,2.677659,48.944297,2.678659
60,48.927963,2.680272,48.927963,2.681272
61,48.908363,2.676352,48.908363,2.677352
62,48.878962,2.673085,48.878962,2.674085
63,48.859362,2.669819,48.859362,2.670819
64,48.841721,2.657405,48.841721,2.658405
65,48.818201,2.622124,48.818201,2.623124
66,48.811667,2.587497,48.811667,2.588497
67,48.810361,2.579004,48.810361,2.580004
68,48.831921,2.589457,48.831921,2.590457
69,48.837148,2.603831,48.837148,2.604831
70,48.844988,2.616244,48.844988,2.617244
71,48.852828,2.635845,48.852828,2.636845
72,48.867202,2.649565,48.867202,2.650565
73,48.888762,2.656752,48.888762,2.657752
74,48.907056,2.658712,48.907056,2.659712
75,48.926003,2.656752,48.926003,2.657752
76,48.946257,2.652178,48.946257,2.653178
77,48.941683,2.644992,48.941683,2.645992
78,48.934496,2.646298,48.934496,2.647298
79,48.922083,2.648912,48.922083,2.649912
80,48.902482,2.650218,48.902482,2.651218
81,48.886802,2.644338,48.886802,2.645338
82,48.875695,2.636498,48.875695,2.637498
83,48.866548,2.627351,48.866548,2.628351
84,48.856095,2.609058,48.856095,2.610058
85,48.846948,2.588804,48.846948,2.589804
86,48.840415,2.569857,48.840415,2.570857
87,48.836494,2.554176,48.836494,2.555176
88,48.610437,0.151822,48.610437,0.152822
89,48.29683,-0.015434,48.29683,-0.014434
90,48.965204,2.594684,48.965204,2.595684
91,48.950177,2.590437,48.950177,2.591437
92,48.939723,2.593704,48.939723,2.594704
93,48.933843,2.595011,48.933843,2.596011
94,48.961284,2.611018,48.961284,2.612018
95,48.96651,2.620164,48.96651,2.621164
96,48.974677,2.629311,48.974677,2.630311
97,48.961284,2.631925,48.961284,2.632925
98,48.979904,2.651852,,
99,48.967164,2.654792,,
100,48.959977,2.652178,,
101,48.955077,2.648912,,
102,48.898236,2.592071,,
103,48.905422,2.593704,,
104,48.901176,2.599584,,
105,48.895622,2.599584,,
106,48.887455,2.599257,,
107,48.894642,2.71784,,
108,48.889415,2.666225,,
109,48.897909,2.667205,,
110,48.919143,2.669165,,
111,48.93319,2.668185,48.93319,2.669185
112,48.937763,2.664592,48.937763,2.665592
113,48.94985,2.664919,48.94985,2.665919
114,48.958997,2.680926,48.958997,2.681926
115,48.974024,2.55679,48.974024,2.55779
116,48.96259,2.546663,48.96259,2.547663
117,48.952137,2.540129,48.952137,2.541129
118,48.94691,2.538169,48.94691,2.539169
119,48.965204,2.56855,48.965204,2.56955
120,48.974024,2.58521,48.974024,2.58621
121,48.978271,2.597297,48.978271,2.598297
122,48.983171,2.599584,48.983171,2.600584
123,48.980884,2.609058,48.980884,2.610058
124,48.975004,2.607097,48.975004,2.608097
125,48.971084,2.604811,48.971084,2.605811
126,48.961937,2.604811,48.961937,2.605811
127,48.956057,2.602851,48.956057,2.603851
128,48.95671,2.596317,48.95671,2.597317
129,48.960304,2.585537,48.960304,2.586537
130,48.96651,2.57639,48.96651,2.57739
131,48.97435,2.571817,48.97435,2.572817
132,48.981537,2.583577,48.981537,2.584577
133,48.983171,2.563977,48.983171,2.564977
134,48.96553,2.560383,48.96553,2.561383
135,48.956383,2.55483,48.956383,2.55583
136,48.947563,2.549603,48.947563,2.550603
137,48.933843,2.541763,48.933843,2.542763
138,48.922409,2.530983,48.922409,2.531983
139,46.59029,1.891683,46.59029,1.892683
